loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose
2500.0,36.0,6.89,77.07,0,6.0,3,11.407576060361786,8
8000.0,36.0,13.18,270.25,2,10.0,1,10.994588367253703,2
17000.0,36.0,15.41,592.73,3,0.0,3,11.289794413577894,2
10000.0,36.0,13.18,337.81,2,10.0,3,11.461642696843066,2
21000.0,36.0,7.26,650.92,0,5.0,3,11.652696102959753,2
10000.0,36.0,9.76,321.55,1,3.0,3,10.668978650219241,1
12000.0,36.0,9.76,385.86,1,10.0,2,11.225256725762893,2
25000.0,36.0,12.59,837.43,2,8.0,1,11.49273296168228,2
15000.0,36.0,7.89,469.29,0,2.0,1,11.53762783361057,2
18925.0,36.0,7.89,592.09,0,1.0,1,11.082157933374816,2
25225.0,60.0,12.59,568.67,2,9.0,3,12.198045514142787,10
30000.0,36.0,13.67,1020.53,2,10.0,1,11.547336553476635,2
3800.0,36.0,18.99,139.28,4,4.0,1,10.915106645867501,2
12000.0,36.0,11.22,394.12,1,5.0,1,10.463131911491967,2
12000.0,36.0,8.18,377.04,1,,3,11.156264806643742,2
11400.0,36.0,13.18,385.11,2,2.0,3,10.308985993422082,11
27000.0,60.0,9.99,573.54,1,10.0,1,11.079076314320057,2
24000.0,36.0,7.49,746.44,0,10.0,3,11.461642696843066,8
24950.0,36.0,9.17,795.38,1,0.0,3,11.385103457032141,1
1500.0,36.0,9.76,48.24,1,0.0,1,10.757924157061597,1
5000.0,36.0,10.78,163.18,1,10.0,3,10.596659732783579,6
8000.0,36.0,15.41,278.94,3,4.0,3,10.203629181337648,1
6000.0,36.0,9.76,192.93,1,1.0,3,11.314486721293981,2
15000.0,60.0,9.76,316.94,1,0.0,3,11.289794413577894,1
28000.0,36.0,8.18,879.75,1,8.0,1,11.884495917930654,2
18000.0,36.0,6.99,555.71,0,7.0,3,11.736077016252437,2
5000.0,36.0,11.49,164.86,1,10.0,1,10.645448706505872,2
12000.0,60.0,13.99,279.16,2,,1,11.19135563385109,2
5000.0,36.0,13.18,168.91,2,0.0,3,10.463131911491967,7
20000.0,60.0,12.05,445.4,2,9.0,1,11.034905792929415,1
20000.0,36.0,9.76,643.1,1,5.0,1,11.388506711556236,2
3000.0,36.0,9.76,96.47,1,10.0,2,11.156264806643742,2
18000.0,36.0,9.17,573.83,1,1.0,2,11.407576060361786,2
10000.0,36.0,9.8,321.74,1,9.0,1,10.596659732783579,2
5000.0,36.0,12.59,167.49,2,,2,10.968215530759235,8
3600.0,36.0,6.24,109.92,0,3.0,3,11.062300843894993,2
10000.0,36.0,14.48,344.12,2,3.0,2,10.518700218288165,2
28000.0,60.0,12.59,631.23,2,10.0,1,11.522885696764481,2
12000.0,36.0,11.49,395.66,1,10.0,1,11.082157933374816,2
2000.0,36.0,11.99,66.42,2,1.0,3,10.308985993422082,1
5000.0,36.0,11.99,166.05,2,4.0,3,10.77897712300635,1
4875.0,36.0,21.48,184.87,4,,3,9.57254997141339,2
20000.0,36.0,8.38,630.24,1,0.0,2,11.289794413577894,2
14000.0,36.0,16.55,496.01,3,1.0,1,11.561725152903833,2
4500.0,36.0,11.99,149.45,2,10.0,1,11.002116507732017,2
10000.0,60.0,10.64,215.64,1,1.0,3,10.668978650219241,2
25000.0,60.0,19.48,655.14,4,2.0,3,11.314486721293981,10
25500.0,36.0,7.26,790.41,0,5.0,2,11.461642696843066,8
35000.0,36.0,16.55,1240.03,3,3.0,1,11.42955472553732,8
17000.0,60.0,13.67,392.66,2,10.0,3,10.596659732783579,2
18000.0,60.0,15.41,432.11,3,5.0,1,11.002116507732017,2
11550.0,36.0,11.99,383.58,2,10.0,1,11.385103457032141,3
18600.0,36.0,9.17,592.95,1,8.0,3,11.522885696764481,2
7200.0,36.0,11.48,237.36,1,10.0,2,11.502885230075814,1
